dataset,cluster,n_cells,n_substates,silhouette_gamma,silhouette_expression,silhouette_gap,min_substate_size
dentate_gyrus,Endothelial,87,3,0.39569810032844543,0.24386611580848694,0.1518319845199585,19
dentate_gyrus,OL,50,2,0.3808155357837677,0.24084143340587616,0.13997410237789154,13
dentate_gyrus,GABA,61,3,0.27063295245170593,0.13700449466705322,0.1336284577846527,19
dentate_gyrus,Radial Glia-like,51,2,0.2395879030227661,0.16434858739376068,0.07523931562900543,23
dentate_gyrus,Microglia,81,3,0.3163659870624542,0.2498479038476944,0.06651808321475983,17
dentate_gyrus,Astrocytes,120,3,0.24032917618751526,0.1823241412639618,0.05800503492355347,33
dentate_gyrus,Mossy,75,3,0.31036442518234253,0.26186561584472656,0.04849880933761597,10
dentate_gyrus,Granule immature,785,2,0.24865181744098663,0.2751426100730896,-0.026490792632102966,198
dentate_gyrus,OPC,53,2,0.32938241958618164,0.3906659781932831,-0.06128355860710144,13
dentate_gyrus,Granule mature,1070,2,0.18303459882736206,0.2556973099708557,-0.07266271114349365,516
dentate_gyrus,Neuroblast,417,2,0.29760244488716125,0.4047611653804779,-0.10715872049331665,200
