rbp,target,spearman_r,p_value
Celf1,Grm7,0.2115777783404512,5.263903771052921e-31
Celf1,Rgs7,0.21040212445458092,1.1319141720286998e-30
Celf1,Tmem108,0.20281869671680794,1.415045829480375e-28
Celf1,Cntn5,0.2202564146013264,1.6020980992082228e-33
Celf1,Ptprj,0.21554930548959034,3.8304605746141646e-32
Celf1,Fam135b,0.23415463061596647,8.794552039930161e-38
Celf1,Klhl29,0.210531482551619,1.040699775674009e-30
Celf1,Cacna1e,0.2260979972128489,2.810221570305694e-35
Celf1,Grin2a,0.2642700030521818,5.175641380276615e-48
Celf1,Grm1,0.23091032023034777,9.211996683723274e-37
Celf1,Epha6,0.20093641893579692,4.554960167753185e-28
Celf1,Fbxl17,0.208156609150278,4.8234557040197426e-30
Celf1,Enox1,0.2014370828151943,3.341430378683086e-28
Celf1,Fam189a1,0.20771909740666328,6.385158355954447e-30
Celf1,Atp2b3,0.20135572250721204,3.514164895764319e-28
Celf1,Adcy9,0.2384128106482182,3.814160358972465e-39
Celf1,Il1rapl1,0.20488233100498673,3.8753972932495354e-29
Celf2,Fgf14,0.22092538065456532,1.0142440001025806e-33
Celf2,Nkain2,0.24352001093437856,8.1449513137709e-41
Celf2,Dlg2,0.30445902832964994,6.827738177590936e-64
Celf2,Slit3,0.2638242083354843,7.509158610615638e-48
Celf2,Slc8a1,0.2078507007228299,5.868934273987385e-30
Celf2,Grm7,0.29533521406395563,4.685391121572155e-60
Celf2,Rgs7,0.31441622257543894,3.071654904204481e-68
Celf2,Xkr4,0.2662758205109544,9.613498838523342e-49
Celf2,Dgkh,0.22078926037363344,1.1132573531550897e-33
Celf2,Tmem108,0.2424783228645051,1.7980912301381164e-40
Celf2,Cntn5,0.25883506524073563,4.6055880954532775e-46
Celf2,Lrp1b,0.24989451741490729,5.8934837800947866e-43
Celf2,Prkg1,0.2593464709601419,3.0326521301587543e-46
Celf2,Ptprj,0.27458778220306074,7.68593366399679e-52
Celf2,Eml6,0.25400810992485034,2.270300929169715e-44
Celf2,Arl15,0.22316034076975044,2.177987101449631e-34
Celf2,Cdh8,0.2929705417697367,4.390325983911743e-59
Celf2,Cntnap5b,0.21065000668029127,9.635453058758488e-31
Celf2,Fam135b,0.2559929582943211,4.617040374217183e-45
Celf2,Klhl29,0.3025439853263845,4.477860733850719e-63
Celf2,Kcnma1,0.3029047749492433,3.145281192563977e-63
Celf2,Nkain3,0.27357236051643585,1.8618062058985812e-51
Celf2,Apba1,0.2105305262560418,1.0413465724758743e-30
Celf2,Grik2,0.22140863393941265,7.282939130569099e-34
Celf2,Cacna1e,0.28588283456394437,3.1632631307111923e-56
Celf2,Palm2,0.20587604784477256,2.066790927367018e-29
Celf2,Grin2a,0.3284479890795728,1.1802568128882421e-74
