gene_symbol,half_life_hours
,2.425
,5.639
,3.236
,10.61
,4.834
,6.844
,2.522
,7.761
,6.136
,18.565
,9.455
,7.876
,18.377
,5.674
,0.692
0610009B22Rik,1.858
0610010K14Rik,9.35
0610012G03Rik,8.91
0610030E20Rik,1.523
0610040J01Rik,3.611
1110004F10Rik,6.209
1110017D15Rik,5.222
1110032A03Rik,21.163
1110032F04Rik,1.902
1110059E24Rik,3.194
1110059G10Rik,1.628
1110065P20Rik,12.25
1190005I06Rik,5.443
1500009L16Rik,5.299
1500011B03Rik,2.365
1520401A03Rik,14.374
1600012H06Rik,1.433
1600014C10Rik,6.585
1700001C19Rik,7.677
1700001L19Rik,4.41
1700001O22Rik,10.916
1700001P01Rik,15.845
1700003E16Rik,5.253
1700003F12Rik,13.746
1700008O03Rik,12.157
1700009N14Rik,8.599
1700010I14Rik,1.655
1700011L22Rik,15.138
1700013G24Rik,8.762
1700013H16Rik,4.764
1700016H13Rik,11.22
1700016K19Rik,5.067
1700017B05Rik,0.369
1700018B08Rik,1.401
1700019A02Rik,1.36
1700019D03Rik,4.052
1700019N19Rik,7.816
1700020A23Rik,6.914
1700020L24Rik,2.567
1700020N01Rik,6.137
1700021F07Rik,12.034
1700025G04Rik,2.921
1700028K03Rik,13.662
1700029I15Rik,3.859
1700029J07Rik,10.476
1700030J22Rik,1.554
1700030K09Rik,3.175
1700037C18Rik,8.013
1700037H04Rik,13.172
1700056E22Rik,4.517
1700066B19Rik,4.067
1700066M21Rik,0.918
1700067K01Rik,7.179
1700088E04Rik,13.704
1700092M07Rik,5.509
1700102P08Rik,2.86
1700109H08Rik,6.506
1700123O20Rik,2.246
1700125H20Rik,8.261
1810009A15Rik,7.605
1810009J06Rik,21.84
1810010H24Rik,8.673
1810013L24Rik,0.574
1810024B03Rik,10.344
1810030O07Rik,6.452
1810037I17Rik,9.698
1810055G02Rik,2.429
1810065E05Rik,14.229
2010315B03Rik,4.22
2200002D01Rik,15.48
2210016F16Rik,4.376
2210016L21Rik,7.365
2210408I21Rik,5.306
2300002M23Rik,3.803
2300009A05Rik,2.675
2310009B15Rik,29.888
2310011J03Rik,3.147
2310022A10Rik,1.471
2310022B05Rik,8.704
2310030G06Rik,1.294
2310033P09Rik,3.1
2310034G01Rik,14.171
2310039H08Rik,10.355
2310057M21Rik,0.411
2310061I04Rik,2.797
2410002F23Rik,1.123
2410004B18Rik,1.407
2410004P03Rik,14.432
2410137M14Rik,13.105
2510002D24Rik,7.741
2510009E07Rik,4.513
2510039O18Rik,2.785
2610002M06Rik,11.473
2610008E11Rik,0.813
2610021A01Rik,1.079
2610028H24Rik,12.206
