gene_symbol,half_life_hours
,4.519
,3.42
,2.658
,2.803
,13.163
,9.149
,2.16
,3.201
,2.87
,3.348
,5.815
,2.277
,24.293
,1.815
,1.636
,5.669
,0.905
,3.438
,5.892
,2.614
,2.675
,2.166
,4.34
,4.268
,1.789
,6.864
,5.218
,4.068
,7.014
A1BG,9.526
A4GALT,2.288
AAAS,22.65
AACS,10.97
AADAT,10.218
AAGAB,13.779
AAK1,3.323
AAMDC,14.884
AAMP,24.392
AAR2,1.865
AARD,3.319
AARS1,8.657
AARSD1,13.536
AASDH,1.965
AASDHPPT,5.984
AASS,15.19
AATF,10.701
AATK,5.475
ABAT,8.455
ABCA2,73.251
ABCA3,15.989
ABCA5,9.349
ABCA6,3.008
ABCA7,28.434
ABCA8,5.459
ABCB1,11.144
ABCB10,13.379
ABCB4,9.856
ABCB6,7.919
ABCB7,12.997
ABCB8,29.106
ABCB9,5.167
ABCC1,6.49
ABCC10,7.124
ABCC2,4.665
ABCC3,4.991
ABCC4,8.436
ABCC5,7.635
ABCC6,4.773
ABCC8,10.641
ABCD1,11.506
ABCD2,0.773
ABCD3,10.39
ABCD4,9.082
ABCE1,8.143
ABCF1,6.336
ABCF2,13.305
ABCF3,3.617
ABCG1,6.449
ABCG2,14.408
ABCG4,2.508
ABHD1,1.896
ABHD10,4.603
ABHD11,6.844
ABHD12,17.342
ABHD13,1.414
ABHD14A,19.91
ABHD14B,27.976
ABHD15,2.086
ABHD16A,7.512
ABHD16B,2.022
ABHD17A,20.092
ABHD17B,0.588
ABHD17C,2.0
ABHD18,3.555
ABHD2,9.796
ABHD3,15.588
ABHD4,8.785
ABHD5,3.105
ABHD6,2.914
ABHD8,5.157
ABI1,7.002
ABI2,8.565
ABI3,2.244
ABITRAM,13.271
ABL2,0.909
ABLIM1,13.03
ABLIM2,2.642
ABLIM3,8.431
ABR,6.177
ABRACL,20.133
ABRAXAS1,9.17
ABRAXAS2,0.884
ABT1,1.919
ABTB1,16.483
ABTB2,1.093
ACAA1,15.097
ACAA2,27.109
ACACA,6.287
ACACB,4.391
ACAD10,11.275
ACAD11,8.141
ACAD8,12.633
ACAD9,15.859
ACADL,8.382
ACADM,25.819
ACADS,13.257
ACADSB,13.863
ACADVL,61.764
ACAP2,3.977
ACAP3,19.809
ACAT1,57.41
ACAT2,21.333
ACBD3,1.748
ACBD4,10.739
ACBD5,4.859
ACBD6,7.988
ACBD7,16.89
ACCS,8.127
ACD,10.909
ACE,10.459
ACER2,2.001
ACER3,9.25
ACHE,34.067
ACIN1,6.269
ACLY,16.119
ACO1,24.616
ACO2,27.497
ACOT1,4.347
ACOT11,3.403
ACOT13,15.956
ACOT2,7.76
ACOT4,3.769
ACOT7,33.963
ACOT8,13.828
ACOT9,14.764
ACOX1,6.891
ACOX3,8.34
ACOXL,8.767
ACP1,27.778
ACP2,7.055
ACP5,9.098
ACP6,7.748
ACR,2.695
ACSBG1,10.058
ACSF2,24.343
ACSF3,7.621
ACSL1,10.926
ACSL3,5.979
ACSL4,10.181
ACSL5,10.614
ACSL6,9.589
ACSM3,16.584
ACSS1,18.943
ACSS2,23.068
ACSS3,14.533
ACTA1,7.65
ACTA2,20.011
ACTB,25.481
ACTG1,14.578
ACTL6A,19.688
ACTL6B,7.191
ACTL7B,2.854
ACTL8,20.113
ACTN1,15.368
ACTN2,1.701
ACTN3,8.281
ACTN4,24.616
ACTR10,17.377
ACTR1A,14.771
ACTR1B,16.054
ACTR2,36.023
ACTR3,17.114
ACTR3B,5.788
ACTR3C,9.604
ACTR5,3.412
ACTR6,8.708
ACTR8,2.913
ACTRT3,1.648
ACVR1,1.422
ACVR1B,2.163
ACVR1C,6.006
ACVR2A,1.082
ACVR2B,2.959
ACVRL1,12.161
ACY1,26.999
ACY3,30.067
ACYP1,11.442
